_id,name,address,telephone,email,website,city.name,city.wiki_link,staff,specializations,lattitude,longitude,last_updated,staff_list_complete
5f97501d56a169c80e568ec2,Dom Zdravlja Zagreb - Centar (Grgura Ninskog 3),"Ulica Grgura Ninskog 3, 10000 Zagreb, Hrvatska",014573244,ravnateljstvo@dzz-centar.hr,https://dzz-centar.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""VESNA"",""surname"":""MATRAPAZOVSKI SINTI"",""specialization"":""Opća/obiteljska medicina""},{""name"":""ZORAN"",""surname"":""TUČKAR"",""specialization"":""Psihologijska djelatnost""}]","[""Opća/obiteljska medicina"",""Psihologijska djelatnost""]",45.804624° N,15.975359° E,26/10/2020,false
5f97501d56a169c80e568ec3,Dom Zdravlja Zagreb - Centar (Runjaninova 4),"Runjaninova 4, 10000 Zagreb, Hrvatska",014897693,ravnateljstvo@dzz-centar.hr,https://dzz-centar.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""ANITA TOMLJENOVIĆ"",""surname"":""TOMLJENOVIĆSNA"",""specialization"":""Opća/obiteljska medicina""},{""name"":""ANA"",""surname"":""PERIĆ-MARKOTIĆ"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""}]","[""Opća/obiteljska medicina"",""Dentalna zdravstvena zaštita (polivalentna)""]",45.804525° N,15.969266° E,26/10/2020,false
5f97501d56a169c80e568ec4,Dom Zdravlja Zagreb - Centar (Vrbanićeva 6),"Vrbanićeva 6, 10000 Zagreb, Hrvatska",014649654,ravnateljstvo@dzz-centar.hr,https://dzz-centar.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""IVANA"",""surname"":""VALLE GOLJAK"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""},{""name"":""SNJEŽANA"",""surname"":""STANUŠIĆ"",""specialization"":""Opća/obiteljska medicina""}]","[""Opća/obiteljska medicina"",""Dentalna zdravstvena zaštita (polivalentna)""]",45.809331° N,15.995387° E,26/10/2020,true
5f97501d56a169c80e568ec5,Dom Zdravlja Zagreb - Centar (Martićeva 63A),"Martićeva 63A, 10000 Zagreb, Hrvatska",014604111,ravnateljstvo@dzz-centar.hr,https://dzz-centar.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""LJUBICA"",""surname"":""LAZIĆ VULETIĆ"",""specialization"":""Opća/obiteljska medicina""},{""name"":""OSKAR"",""surname"":""CRNALIĆ"",""specialization"":""Opća/obiteljska medicina""}]","[""Opća/obiteljska medicina""]",45.804624° N,15.975359° E,26/10/2020,false
5f97501d56a169c80e568ec6,Dom Zdravlja Zagreb - Istok (Grižanska 4),"Grižanska 4, 10040 Zagreb, Hrvatska",012960444,pisarnica@dzz-istok.hr,http://dzz-istok.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""ADA"",""surname"":""DRČELIĆ MATUTINOVIĆ"",""specialization"":""Opća/obiteljska medicina""},{""name"":""KATARINA"",""surname"":""MUSTAPIĆ"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""}]","[""Opća/obiteljska medicina"",""Dentalna zdravstvena zaštita (polivalentna)""]",45.829919° N,16.052109° E,26/10/2020,false
5f97501d56a169c80e568ec7,Dom Zdravlja Zagreb - Istok (Resnički put 81),"Resnički put 81, 10040 Zagreb, Hrvatska",012852168,pisarnica@dzz-istok.hr,http://dzz-istok.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""TEUTA"",""surname"":""BISAKU STOŠIĆ"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""},{""name"":""GORANA"",""surname"":""ŽUVELA"",""specialization"":""Opća/obiteljska medicina""}]","[""Opća/obiteljska medicina"",""Dentalna zdravstvena zaštita (polivalentna)""]",45.814419° N,16.062070° E,26/10/2020,true
5f97501d56a169c80e568ec8,Dom Zdravlja Zagreb - Istok (Ivanićgradska 38),"Ivanićgradska 38, 10040 Zagreb, Hrvatska",012395435,pisarnica@dzz-istok.hr,http://dzz-istok.hr/,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""BILJANA"",""surname"":""PARIZOSKA-BELOVIĆ"",""specialization"":""Opća/obiteljska medicina""},{""name"":""BOŽENA"",""surname"":""HADER"",""specialization"":""Zdravstvena zaštita predškolske djece""}]","[""Opća/obiteljska medicina"",""Zdravstvena zaštita predškolske djece""]",45.805815° N,16.018916° E,26/10/2020,false
5f97501d56a169c80e568ec9,Dom Zdravlja Zagreb - Zapad (Prečko 2),"Prečko 2, 10000 Zagreb, Hrvatska",013780444,pitanja@dzz-zapad.hr,http://www.dzz-zapad.hr/home.php,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""MIA"",""surname"":""POTURICA"",""specialization"":""Opća/obiteljska medicina""},{""name"":""HUŠMAN"",""surname"":""MILETIĆ VERA"",""specialization"":""Opća/obiteljska medicina""}]","[""Opća/obiteljska medicina""]",45.793294° N,15.905029° E,26/10/2020,false
5f97501d56a169c80e568eca,Dom Zdravlja Zagreb - Zapad (Gandhijeva 5),"Ulica Mahatme Gandhia 5, 10000, Zagreb, Hrvatska",013455037,pitanja@dzz-zapad.hr,http://www.dzz-zapad.hr/home.php,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""MAJA"",""surname"":""PAVIĆ PATRLJ"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""},{""name"":""MARTA"",""surname"":""KROLO"",""specialization"":""Dentalna zdravstvena zaštita (polivalentna)""}]","[""Dentalna zdravstvena zaštita (polivalentna)""]",45.815743° N,15.877107° E,26/10/2020,false
5f97501d56a169c80e568ecb,Dom Zdravlja Zagreb - Zapad (Podsusedska Aleja 79),"Podsusedska Aleja 79, 10000 Zagreb, Hrvatska",013490909,pitanja@dzz-zapad.hr,http://www.dzz-zapad.hr/home.php,Zagreb,https://hr.wikipedia.org/wiki/Zagreb,"[{""name"":""IVAN"",""surname"":""ŠIMUNEC"",""specialization"":""Opća/obiteljska medicina""},{""name"":""ALENKA"",""surname"":""AKŠAMIJA GOVIĆ"",""specialization"":""Zdravstvena zaštita žena""}]","[""Opća/obiteljska medicina"",""Zdravstvena zaštita žena""]",45.815524° N,15.846045° E,26/10/2020,false
